iter	Passed	Remaining
414	3176	4477
415	3184	4470
416	3192	4463
417	3200	4455
418	3208	4448
419	3215	4440
420	3223	4433
421	3230	4425
422	3239	4418
423	3246	4410
424	3253	4401
425	3260	4393
426	3268	4386
427	3276	4378
428	3283	4369
429	3290	4361
430	3297	4353
431	3304	4344
432	3311	4336
433	3318	4327
434	3325	4319
435	3332	4310
436	3339	4302
437	3346	4294
438	3354	4286
439	3361	4278
440	3369	4270
441	3376	4263
442	3384	4255
443	3391	4246
444	3398	4238
445	3406	4231
446	3414	4224
447	3422	4217
448	3430	4209
449	3438	4202
450	3445	4193
451	3453	4186
452	3460	4178
453	3467	4170
454	3475	4163
455	3482	4155
456	3490	4146
457	3497	4138
458	3505	4131
459	3513	4124
460	3521	4116
461	3528	4109
462	3536	4101
463	3543	4093
464	3551	4085
465	3558	4078
466	3566	4070
467	3573	4061
468	3580	4054
469	3588	4046
470	3596	4039
471	3604	4031
472	3611	4023
473	3619	4016
474	3626	4008
475	3634	4000
476	3641	3993
477	3648	3984
478	3656	3977
479	3663	3969
480	3671	3961
481	3677	3952
482	3685	3945
483	3693	3937
484	3701	3930
485	3709	3923
486	3717	3916
487	3725	3908
488	3732	3900
489	3740	3893
490	3748	3885
491	3755	3878
492	3763	3870
493	3771	3863
494	3779	3856
495	3786	3847
496	3793	3839
497	3801	3832
498	3809	3824
499	3817	3817
500	3825	3810
501	3833	3803
502	3842	3796
503	3849	3788
504	3857	3780
505	3864	3773
506	3872	3765
507	3881	3758
508	3888	3750
509	3896	3743
510	3904	3736
511	3912	3728
512	3920	3721
513	3928	3714
514	3936	3707
515	3944	3700
516	3951	3692
517	3959	3684
518	3967	3676
519	3975	3669
520	3983	3662
521	3991	3655
522	3998	3646
523	4006	3639
524	4013	3631
525	4021	3623
526	4029	3616
527	4037	3609
528	4045	3602
529	4052	3593
530	4060	3586
531	4067	3578
532	4074	3570
533	4081	3561
534	4088	3553
535	4095	3545
536	4103	3537
537	4110	3530
538	4118	3522
539	4126	3515
540	4134	3507
541	4142	3500
542	4150	3493
543	4158	3485
544	4166	3478
545	4173	3470
546	4181	3462
547	4187	3454
548	4195	3446
549	4202	3438
550	4210	3431
551	4218	3423
552	4226	3416
553	4233	3408
554	4242	3401
555	4249	3393
556	4257	3386
557	4264	3377
558	4271	3369
559	4279	3362
560	4286	3354
561	4293	3346
562	4301	3338
563	4307	3330
564	4315	3322
565	4322	3314
566	4330	3307
567	4338	3299
568	4346	3292
569	4353	3283
570	4360	3276
571	4368	3268
572	4375	3260
573	4383	3253
574	4390	3245
575	4398	3237
576	4405	3229
577	4414	3222
578	4422	3215
579	4429	3207
580	4437	3200
581	4444	3192
582	4452	3184
583	4460	3177
584	4467	3169
585	4475	3161
586	4483	3154
587	4490	3146
588	4497	3138
589	4505	3130
590	4512	3123
591	4519	3114
592	4527	3107
593	4534	3099
594	4541	3091
595	4549	3083
