iter	RMSE
195	1.807107211
196	1.807013483
197	1.806885117
198	1.806817111
199	1.806723404
200	1.806694415
201	1.806462609
202	1.806281405
203	1.806055078
204	1.805996275
205	1.80575791
206	1.805548322
207	1.805433539
208	1.8053477
209	1.805325779
210	1.80522129
211	1.804996608
212	1.804956746
213	1.804797747
214	1.8045782
215	1.804539132
216	1.804375915
217	1.804305926
218	1.804208658
219	1.80408312
220	1.80391168
221	1.803875382
222	1.803713135
223	1.80352489
224	1.803325732
225	1.803224328
226	1.803138948
227	1.803119052
228	1.80293783
229	1.802743714
230	1.802533753
231	1.802405054
232	1.802202448
233	1.80205908
234	1.80190518
235	1.801793226
236	1.801718759
237	1.801499881
238	1.801464057
239	1.801381641
240	1.801211538
241	1.801191871
242	1.801126504
243	1.800918059
244	1.80077356
245	1.80057979
246	1.800414926
247	1.800255447
248	1.800074117
249	1.799977959
250	1.799713985
251	1.799632944
252	1.799484443
253	1.799321997
254	1.799291953
255	1.799138367
256	1.799005065
257	1.79889047
258	1.798718549
259	1.798578695
260	1.798523044
261	1.798372392
262	1.798171349
263	1.798092281
264	1.797935774
265	1.797825299
266	1.797653702
267	1.79763233
268	1.797596715
269	1.79746525
270	1.797343751
271	1.797064812
272	1.796860613
273	1.796685458
274	1.796546182
275	1.796487502
276	1.796399884
277	1.79623061
278	1.796069072
279	1.795934789
280	1.795772678
281	1.795734956
282	1.795642607
283	1.795408768
284	1.795314109
285	1.795198373
286	1.79504244
287	1.795009249
288	1.794957597
289	1.794940764
290	1.794715243
291	1.794558967
292	1.794406251
293	1.794339645
294	1.794307461
295	1.794185342
296	1.794015692
297	1.793876633
298	1.793783734
299	1.793707518
300	1.793555645
301	1.793508873
302	1.793422927
303	1.793348173
304	1.793086668
305	1.792942256
306	1.792810134
307	1.79263135
308	1.792506839
309	1.79240539
310	1.792306811
311	1.792081136
312	1.791859625
313	1.791778432
314	1.791688931
315	1.791605822
316	1.791510835
317	1.791366775
318	1.791256583
319	1.791108539
320	1.790946014
321	1.790745362
322	1.790620384
323	1.790540902
324	1.79046752
325	1.790448815
326	1.790328405
327	1.790202159
328	1.790082785
329	1.789897975
330	1.789747
331	1.78951647
332	1.789426841
333	1.789337307
334	1.789258332
335	1.789236784
336	1.789085971
337	1.788978522
338	1.788799521
339	1.788693387
340	1.788624709
341	1.788521579
342	1.788360821
343	1.788256893
344	1.788067584
345	1.787923043
346	1.7877827
347	1.787708517
348	1.787637351
349	1.787519594
350	1.787332855
351	1.787206448
352	1.787088881
353	1.787005731
354	1.786838115
355	1.786685028
356	1.786545425
357	1.786344515
358	1.786282369
359	1.786116448
360	1.786028881
361	1.785954729
362	1.785724183
363	1.785682435
364	1.78554732
365	1.785461914
366	1.785386088
367	1.78528383
368	1.785255681
369	1.785136725
370	1.785050336
371	1.78490207
372	1.784845541
373	1.784658979
374	1.784595771
375	1.78445462
376	1.784327605
377	1.784222917
378	1.784191506
379	1.784023439
380	1.783887009
381	1.783783973
382	1.783765766
383	1.78365461
384	1.783622637
385	1.783549079
386	1.78349656
387	1.78330668
388	1.783219811
389	1.783041887
390	1.782961227
391	1.78280957
392	1.782662685
393	1.782631385
394	1.782486233
395	1.782436921
396	1.782287434
397	1.782120365
398	1.782095873
399	1.782042176
400	1.782013304
401	1.781898295
402	1.781758857
403	1.781663358
404	1.78157043
405	1.781423702
406	1.781330181
407	1.781228734
408	1.781145445
409	1.781003046
410	1.780960496
411	1.780809906
412	1.780732973
413	1.780710512
414	1.78052781
415	1.780395089
416	1.780321493
417	1.78015063
418	1.780085492
419	1.779956322
420	1.779908861
421	1.779802268
422	1.779660019
423	1.779640814
424	1.779529035
425	1.779392621
426	1.77921743
427	1.779175136
428	1.779161174
429	1.779035015
430	1.77900711
431	1.778894876
432	1.778878677
433	1.778805563
434	1.778687414
435	1.778552719
436	1.778452533
437	1.778323188
438	1.778258151
439	1.778139043
440	1.778028019
441	1.777978293
442	1.77787798
443	1.777690396
444	1.777673629
445	1.777574627
446	1.777432611
447	1.777302413
448	1.777261508
449	1.777149773
450	1.777138143
451	1.777010609
452	1.77684803
453	1.776781803
454	1.776664225
455	1.776514158
456	1.776357334
457	1.776239811
458	1.776065899
459	1.775942948
460	1.775854489
461	1.775747163
462	1.775698015
463	1.775663536
464	1.775603329
465	1.775442391
466	1.775350383
467	1.775190677
468	1.775076709
469	1.774973281
470	1.774922473
471	1.77482347
472	1.774692703
473	1.774583027
474	1.774567496
475	1.774423686
476	1.77430617
477	1.774199877
478	1.774108138
479	1.773985271
480	1.77387898
481	1.773762843
482	1.773693792
483	1.773668734
484	1.773617248
485	1.773445435
486	1.773332986
487	1.773320312
488	1.773178474
489	1.773070724
490	1.772924189
491	1.772863607
492	1.772739976
493	1.772679188
494	1.772602484
495	1.772499976
496	1.772331095
497	1.772157425
498	1.772111192
499	1.772023465
500	1.772006795
501	1.771928106
502	1.771812512
503	1.771770826
504	1.771740513
505	1.771556372
506	1.77144589
507	1.771347527
508	1.771331686
509	1.771232156
510	1.771046342
511	1.770905865
512	1.770836729
513	1.77076455
514	1.770650259
515	1.770554961
516	1.7704517
517	1.770359217
518	1.770288994
519	1.770118644
520	1.770063742
521	1.769987197
522	1.769956503
523	1.769870506
524	1.769731149
525	1.769697902
526	1.769661025
527	1.769560318
528	1.76945902
529	1.769355556
530	1.769314606
531	1.769189983
532	1.769052038
533	1.768966475
534	1.768871282
535	1.76876566
536	1.768691745
537	1.768574762
538	1.76844378
539	1.768425156
540	1.768344165
541	1.768228458
542	1.76802561
543	1.767900295
544	1.767797774
545	1.767671089
546	1.767608452
547	1.767498631
548	1.76730681
549	1.767234751
550	1.767028238
551	1.766879811
552	1.766770386
553	1.766606716
554	1.766545472
555	1.766515815
556	1.766413551
557	1.766402592
558	1.766280235
559	1.766199394
560	1.766050176
561	1.766008811
562	1.765925518
563	1.765831621
564	1.765701134
565	1.765526528
566	1.765401846
567	1.765342741
568	1.765221402
569	1.765134271
570	1.765040083
571	1.764916363
572	1.764782428
573	1.764670883
574	1.764437708
575	1.764394707
576	1.764348281
577	1.764260583
578	1.764228036
579	1.764118773
580	1.764031987
581	1.763801467
582	1.76372918
583	1.763558549
584	1.763503086
585	1.763386819
586	1.763321723
587	1.763109352
588	1.763098572
589	1.762987853
590	1.762958465
591	1.762861851
592	1.762806309
593	1.762693761
594	1.762548925
595	1.762517933
596	1.762463108
597	1.762364181
598	1.762267454
599	1.762169403
600	1.762073513
601	1.762061187
602	1.761992685
603	1.76186718
604	1.761751145
605	1.761725924
606	1.761691291
607	1.761519193
608	1.761438484
609	1.761387762
610	1.761278012
611	1.761138784
612	1.761017933
613	1.760999771
614	1.760874838
615	1.760799927
616	1.760722319
617	1.760566176
618	1.760490756
619	1.760477734
620	1.760354189
621	1.760220984
622	1.76010377
623	1.759995108
624	1.759912924
625	1.759816605
626	1.75974153
627	1.759641981
628	1.759567284
629	1.759493991
630	1.759416485
631	1.759322125
632	1.759250546
633	1.759141039
634	1.759036083
635	1.758926088
636	1.758846824
637	1.758772997
638	1.758611095
639	1.758574173
640	1.758461692
641	1.758346617
642	1.758232546
643	1.758163471
644	1.758073822
645	1.75791201
646	1.757890133
647	1.757733161
648	1.757623807
649	1.757588481
650	1.75756736
651	1.757480062
652	1.757452928
653	1.757311763
654	1.757212312
655	1.757115678
656	1.757043169
657	1.756975067
658	1.756896402
659	1.756868899
660	1.756778623
661	1.756703441
662	1.756672077
663	1.756600063
664	1.756572196
665	1.756412757
666	1.756387948
667	1.756280424
668	1.756201615
669	1.756099336
670	1.756041276
671	1.755994437
672	1.755977857
673	1.755869929
674	1.755743772
675	1.755595884
676	1.755431172
677	1.755328598
678	1.755288631
679	1.755167253
680	1.755114581
681	1.755045886
682	1.754953582
683	1.754858853
684	1.75480007
685	1.754724568
686	1.754634659
687	1.754593268
688	1.75456223
689	1.754477476
690	1.754422329
691	1.754317935
692	1.754236384
693	1.754147148
694	1.754133223
695	1.754033928
696	1.754005411
697	1.753992287
698	1.753974657
699	1.753906494
700	1.753886092
701	1.753861508
702	1.75378393
703	1.753724232
704	1.753560453
705	1.753462469
706	1.753384952
707	1.753246533
708	1.753216919
709	1.753152919
710	1.753133105
711	1.753001628
712	1.752862888
713	1.752766443
714	1.752640028
715	1.752560801
716	1.752462038
717	1.752448205
718	1.752308532
719	1.752099597
720	1.752006365
721	1.751873213
722	1.751721202
723	1.751565578
724	1.751485176
725	1.751391545
726	1.751339561
727	1.751263869
728	1.751176412
729	1.751034077
730	1.751020076
731	1.750986952
732	1.750865438
733	1.750802486
734	1.750727445
735	1.750633871
736	1.750532711
737	1.750448423
738	1.750315269
739	1.750290895
740	1.750197401
741	1.750158348
742	1.750115411
743	1.749885304
744	1.749829543
745	1.74973438
746	1.749692586
747	1.749615544
748	1.749586592
749	1.749534968
750	1.749459955
751	1.749445635
752	1.749296638
753	1.74920084
754	1.748983999
755	1.748886395
756	1.748873615
757	1.748805059
758	1.748684026
759	1.748585238
760	1.748503957
761	1.748371852
762	1.748250193
763	1.748214564
764	1.748084094
765	1.747955443
766	1.747893304
767	1.747743637
768	1.747674291
769	1.747570887
770	1.747520779
771	1.747345309
772	1.747301821
773	1.747233668
774	1.747151933
775	1.747014144
776	1.746898423
777	1.746854627
778	1.746742496
779	1.746699694
780	1.746634912
781	1.746542859
782	1.746440047
783	1.746373025
784	1.746360015
785	1.746310287
786	1.746245577
787	1.746131281
788	1.746088146
789	1.746063661
790	1.745939472
791	1.745836593
792	1.745792304
793	1.745692658
794	1.745588612
795	1.745561987
796	1.745440462
797	1.745360984
798	1.745233576
799	1.745156311
800	1.745132928
801	1.745112445
802	1.74506137
803	1.744979943
804	1.744899212
805	1.74480385
806	1.744779275
807	1.744695779
808	1.74453794
809	1.744443464
810	1.744356092
811	1.744281128
812	1.744240152
813	1.744066006
814	1.744030954
815	1.743933729
816	1.743910916
817	1.743835167
818	1.743736519
819	1.743641833
820	1.743561066
821	1.743530978
822	1.743451379
823	1.743427758
824	1.743361047
825	1.743292015
826	1.743236524
827	1.743173646
828	1.743125197
829	1.743057719
830	1.742978989
831	1.742943667
832	1.742798903
833	1.742731388
834	1.742591161
835	1.74248473
836	1.742440108
837	1.742367719
838	1.742271252
839	1.742181266
840	1.742088144
841	1.742062824
842	1.742001419
843	1.741951115
844	1.741861062
845	1.741788103
846	1.741709724
847	1.741591749
848	1.741552352
849	1.741495526
850	1.741423316
851	1.741358835
852	1.741333398
853	1.741218375
854	1.741148106
855	1.74108028
856	1.741059315
857	1.741044875
858	1.740972991
859	1.74087274
860	1.74078158
861	1.740723034
862	1.74067608
863	1.74057183
864	1.740470793
865	1.740352349
866	1.740291519
867	1.7401805
868	1.740152224
869	1.740080471
870	1.740033159
871	1.739963422
872	1.73989266
873	1.739836597
874	1.739759128
875	1.739678686
876	1.739623162
877	1.739518925
878	1.739453545
879	1.739364144
880	1.739278495
881	1.739214349
882	1.739025892
883	1.738955699
884	1.738903127
885	1.738846345
886	1.738749665
887	1.738591567
888	1.738572464
889	1.738494585
890	1.738481206
891	1.738467735
892	1.738291505
893	1.738205823
894	1.738059074
895	1.737975254
896	1.737877119
897	1.737863015
898	1.737792272
899	1.737725262
900	1.737648623
901	1.737542613
902	1.737506648
903	1.73739932
904	1.737345766
905	1.737251935
906	1.737237295
907	1.737173023
908	1.737143926
909	1.737131736
910	1.737041812
911	1.736954965
912	1.736935855
913	1.736834916
914	1.73671472
915	1.736677076
916	1.736582786
917	1.736461227
918	1.736376556
919	1.736316949
920	1.73622098
921	1.736116521
922	1.736029365
923	1.73592285
924	1.735896878
925	1.735849403
926	1.735763684
927	1.735651858
928	1.735592918
929	1.735404211
930	1.735331882
931	1.735244121
932	1.735085207
933	1.734973436
934	1.73480177
935	1.734701893
936	1.734625188
937	1.734518052
938	1.734409989
939	1.734373352
940	1.734290192
941	1.734229923
942	1.734163367
943	1.734106947
944	1.734022627
945	1.73394116
946	1.733909757
947	1.733797894
948	1.733756323
949	1.73369493
950	1.733556416
951	1.733459186
952	1.733420774
953	1.733402987
954	1.733330345
955	1.733277288
956	1.733190655
957	1.733144646
958	1.733111166
959	1.73306162
960	1.733039924
961	1.7329172
962	1.732858306
963	1.732814469
964	1.732671551
965	1.732591691
966	1.732447242
967	1.732427248
968	1.732393372
969	1.732284847
970	1.732233333
971	1.732134232
972	1.732119141
973	1.731948211
974	1.731846631
975	1.73169996
976	1.731661048
977	1.731606866
978	1.731520621
979	1.731370465
980	1.73136177
981	1.731285718
982	1.731237778
983	1.731146937
984	1.73105961
985	1.730969843
986	1.730952707
987	1.730936614
988	1.730829162
989	1.730783616
990	1.730771275
991	1.73069075
992	1.730594033
993	1.730581899
994	1.730469254
995	1.730456214
996	1.730316219
997	1.730234842
998	1.730181525
999	1.730169193
