iter	Logloss
145	0.1304418246
146	0.1304375405
147	0.1304123877
148	0.130410307
149	0.130362502
150	0.1303385012
151	0.1302788952
152	0.1302509309
153	0.1302091767
154	0.1302058043
155	0.1301724642
156	0.1301465305
157	0.1301048497
158	0.1300678763
159	0.1300405211
160	0.1300348628
161	0.1299862301
162	0.1299828662
163	0.1299247787
164	0.1299142057
165	0.1298930051
166	0.1298691798
167	0.1298459865
168	0.1297437118
169	0.1297006457
170	0.1296802115
171	0.1296672916
172	0.1296584351
173	0.1295816174
174	0.1295304287
175	0.1294688094
176	0.1294065639
177	0.1293955892
178	0.1293653612
179	0.1293428753
180	0.1293113176
181	0.1293083911
182	0.1292866017
183	0.1292751617
184	0.1292319407
185	0.1292017243
186	0.1291816339
187	0.1291525505
188	0.1291437206
189	0.1291414584
190	0.1291261039
191	0.1290722983
192	0.1290338261
193	0.1290115558
194	0.1289902389
195	0.1289134528
196	0.1288708505
197	0.1288028887
198	0.1288009565
199	0.128757848
200	0.1287209419
201	0.1286541477
202	0.1286293649
203	0.1286078573
204	0.1286028754
205	0.1285652501
206	0.1285474881
207	0.1285257596
208	0.1285150114
209	0.1284742844
210	0.1284283526
211	0.1283768185
212	0.1283635682
213	0.1283626602
214	0.1283198178
215	0.1282813773
216	0.1282473243
217	0.1282197949
218	0.1282145585
219	0.1282084492
220	0.1281666279
221	0.1281284698
222	0.1281141647
223	0.128070915
224	0.1280351063
225	0.1280221191
226	0.1280067331
227	0.1279904792
228	0.1279835144
229	0.1279573584
230	0.1279267061
231	0.1278482228
232	0.1278443973
233	0.1278197635
234	0.1277986606
235	0.1277540215
236	0.127713971
237	0.1276856648
238	0.1276676403
239	0.1276346932
240	0.1276009093
241	0.1275548366
242	0.1274907439
243	0.1274453892
244	0.1274151897
245	0.1274123841
246	0.1273976651
247	0.1273542433
248	0.1273512682
249	0.1273481838
250	0.1273115249
251	0.1272884691
252	0.1272806995
253	0.1272697198
254	0.1272580173
255	0.1272201565
256	0.1272083472
257	0.1271848401
258	0.1271633256
259	0.1271523451
260	0.1271393515
261	0.127123736
262	0.1271016155
263	0.1270547051
264	0.1270483214
265	0.127033663
266	0.1270292904
267	0.1270207632
268	0.1269742222
269	0.1269460783
270	0.1269366563
271	0.1268901369
272	0.1268669871
273	0.1268630471
274	0.1268526423
275	0.1268404342
276	0.1268311829
277	0.1268259525
278	0.1267889575
279	0.1267821158
280	0.1267803409
281	0.1267784674
282	0.1267499304
283	0.1267389362
284	0.1267274268
285	0.1267187899
286	0.1266717916
287	0.1266644313
288	0.1266525623
289	0.1266508365
290	0.1265663806
291	0.1265584178
292	0.1265315169
293	0.1265234897
294	0.1264984084
295	0.1264870036
296	0.1264835889
297	0.126438838
298	0.12642133
299	0.1263922648
300	0.1263739887
301	0.126295256
302	0.1262787963
303	0.1262206427
304	0.1262185603
305	0.1261707421
306	0.1261278869
307	0.1261129808
308	0.126072621
309	0.1260709806
310	0.1260095835
311	0.1259951024
312	0.1259278906
313	0.1259077872
314	0.1258645247
315	0.1258504563
316	0.125829398
317	0.1258278648
318	0.1257809487
319	0.1257538727
320	0.1257411503
321	0.1257265841
322	0.125725089
323	0.1257171809
324	0.1257035448
325	0.1256573088
326	0.1256105467
327	0.1255899588
328	0.1255887432
329	0.1255747314
330	0.1255233935
331	0.1255109871
332	0.1254493033
333	0.1254391556
334	0.1254122228
335	0.1254028157
336	0.1253909535
337	0.1253203935
338	0.1253070841
339	0.1252758506
340	0.1252674708
341	0.1252561177
342	0.1252317735
343	0.1252069221
344	0.1251805074
345	0.1251720217
346	0.1251632835
347	0.1251392784
348	0.1251322628
349	0.125128295
350	0.1251261426
351	0.1250866613
352	0.1250743581
353	0.1250636983
354	0.1250519507
355	0.1249976655
356	0.1249700734
357	0.12493484
358	0.1249252896
359	0.1249094099
360	0.1248875544
361	0.1248760194
362	0.1248441757
363	0.1248431525
364	0.1248368127
365	0.1248174489
366	0.1248074608
367	0.1247592011
368	0.124707293
369	0.1246651911
370	0.124656229
371	0.1246446125
372	0.1246434602
373	0.1246152164
374	0.1246067068
375	0.1245682843
376	0.1245512489
377	0.1245339195
378	0.1245215704
379	0.1245005723
380	0.1244953254
381	0.1244853621
382	0.1244456324
383	0.1244352811
384	0.1244343934
385	0.1244292868
386	0.1244185544
387	0.1244122098
388	0.1243888646
389	0.1243781306
390	0.1243665461
391	0.1243643362
392	0.1243420245
393	0.1243341592
394	0.1243205444
395	0.1243124384
396	0.1242745345
397	0.1242635867
398	0.1242251622
399	0.1241754529
400	0.1241680031
401	0.1241072714
402	0.1240965027
403	0.1240875953
404	0.1240818342
405	0.1240419431
406	0.1240410733
407	0.1240315625
408	0.1239988029
409	0.1239669146
410	0.1239333422
411	0.1239122935
412	0.1238541932
413	0.1238088837
414	0.1238023967
415	0.1237556133
416	0.1237164907
417	0.1236801838
418	0.1236724648
419	0.123667325
420	0.1236417369
421	0.1236149155
422	0.1236092782
423	0.1235814409
424	0.1235735288
425	0.1235334723
426	0.1235263796
427	0.1235094125
428	0.1234743333
429	0.1234609896
430	0.1234317637
431	0.1234259953
432	0.1234094984
433	0.1234041579
434	0.1233929126
435	0.1233864384
436	0.1233787969
437	0.1233742319
438	0.1233519931
439	0.1233436289
440	0.1232944298
441	0.1232793496
442	0.1232451787
443	0.123211711
444	0.1231754963
445	0.1231619622
446	0.1231452377
447	0.1231443896
448	0.1231325113
449	0.1231305767
450	0.1231132118
451	0.1231080732
452	0.123096789
453	0.1230671394
454	0.1230422921
455	0.1230368703
456	0.1230081587
457	0.1230074178
458	0.1229687809
459	0.1229374267
460	0.1229192931
461	0.1228717454
462	0.1228089619
463	0.1227652326
464	0.1227450885
465	0.1227411484
466	0.1227030024
467	0.122695199
468	0.1226659432
469	0.1226560297
470	0.122625833
471	0.1226241356
472	0.122620607
473	0.1225933011
474	0.1225492429
475	0.1225082754
476	0.1225021584
477	0.122475935
478	0.1224369738
479	0.1224210045
480	0.1224122985
481	0.122393039
482	0.1223678507
483	0.1223622608
484	0.1223602812
485	0.1222973572
486	0.1222464574
487	0.1222121087
488	0.122180611
489	0.1221538212
490	0.1221262294
491	0.1221143294
492	0.1220958745
493	0.1220545646
494	0.122003585
495	0.1219897156
496	0.1219861185
497	0.1219629223
498	0.1219509705
499	0.1219463252
500	0.1219261379
501	0.1218930378
502	0.1218742239
503	0.1218386082
504	0.1218304083
505	0.1218177293
506	0.121779905
507	0.1217746519
508	0.1217515603
509	0.1217436939
510	0.1217402554
511	0.121722222
512	0.1216594453
513	0.1216405225
514	0.1216019823
515	0.1215921029
516	0.1215617507
517	0.1215186986
518	0.1215138358
519	0.1215078386
520	0.1214963221
521	0.1214741435
522	0.1214548619
523	0.1214472269
524	0.1214416621
525	0.1214342164
526	0.1214261346
527	0.1213981459
528	0.1213872235
529	0.1213391707
530	0.121300587
531	0.1212592749
532	0.1212531077
533	0.1212314034
534	0.1212306619
535	0.121214309
536	0.1211768688
537	0.1211480022
538	0.1210850861
539	0.1210844408
540	0.1210833245
541	0.1210328451
542	0.121008434
543	0.121007824
544	0.1209930867
545	0.1209755765
546	0.1209699348
547	0.1209630297
548	0.1209292007
549	0.1209218243
550	0.1208717685
551	0.1208370124
552	0.1207924544
553	0.1207854488
554	0.1207489345
555	0.1207337054
556	0.1207332098
557	0.1207124264
558	0.1207119307
559	0.120707238
560	0.1207038952
561	0.1207020914
562	0.1206948233
563	0.1206592413
564	0.1206453879
565	0.1206105319
566	0.1206032713
567	0.1205904577
568	0.1205655165
569	0.1205468889
570	0.1204892284
571	0.1204538757
572	0.1204390553
573	0.120423083
574	0.120402742
575	0.1203890985
576	0.1203819527
577	0.1203155623
578	0.1203129007
579	0.1202816668
580	0.1202557358
581	0.1202076862
582	0.1201828761
583	0.1201350402
584	0.1201243931
585	0.1200763734
586	0.1200552074
587	0.1200417507
588	0.1200029142
589	0.1199832944
590	0.119961187
591	0.1199237485
592	0.1198806986
593	0.1198516296
594	0.1198511357
595	0.1198469935
596	0.1198246551
597	0.1198001924
598	0.1197948449
599	0.1197681363
600	0.1197545684
601	0.119740806
602	0.1197104733
603	0.1196803117
604	0.1196263171
605	0.1195825168
606	0.1195751892
607	0.1195656832
608	0.1195231969
609	0.1194828309
610	0.1194797129
611	0.1194615513
612	0.1194309178
613	0.1194257541
614	0.1194196136
615	0.1194059769
616	0.1194053105
617	0.1194002476
618	0.1193954949
619	0.1193947554
620	0.1193354088
621	0.119296531
622	0.1192898335
623	0.1192406384
624	0.1192116577
625	0.1191997887
626	0.1191919171
627	0.1191474917
628	0.119107992
629	0.1191048767
630	0.1190623895
631	0.1190554238
632	0.1189999554
633	0.1189892144
634	0.1189798616
635	0.118975689
636	0.1189579121
637	0.118948239
638	0.1189374464
639	0.118936771
640	0.1188968073
641	0.1188875223
642	0.1188600284
643	0.1187915271
644	0.1187861513
645	0.1187437705
646	0.1187302759
647	0.1186902343
648	0.1186706662
649	0.1186425517
650	0.1186130703
651	0.1185928966
652	0.1185390177
653	0.1184864133
654	0.1184835518
655	0.1184773444
656	0.118444345
657	0.118440225
658	0.1184129927
659	0.1183864315
660	0.118350681
661	0.1183457486
662	0.1183285211
663	0.118281375
664	0.1182599012
665	0.1182482342
666	0.1182290847
667	0.1182111131
668	0.1182037481
669	0.1181730428
670	0.1181654862
671	0.1181291674
672	0.1181119175
673	0.1181021027
674	0.1181017487
675	0.1180602914
676	0.1180353094
677	0.1180195621
678	0.1180191501
679	0.1179844736
680	0.1179817778
681	0.1179519276
682	0.1179395458
683	0.1179023354
684	0.1178638843
685	0.1178395163
686	0.1178001533
687	0.1177877469
688	0.1177375184
689	0.1177318559
690	0.1176837833
691	0.1176775619
692	0.1176752609
693	0.1176389664
694	0.1176336971
695	0.1176270173
696	0.117600079
697	0.1175868775
698	0.1175784908
699	0.117577305
700	0.1175768984
701	0.1175712101
702	0.1175566713
703	0.1175239798
704	0.1175067717
705	0.1174829791
706	0.117458603
707	0.1174266777
708	0.1174263099
709	0.1174178648
710	0.1174123841
711	0.1174077907
712	0.1174029258
713	0.1173993048
714	0.1173910282
715	0.1173858023
716	0.1173854165
717	0.1173813276
718	0.1173620414
719	0.1173540211
720	0.1173469225
721	0.1173389158
722	0.1173247715
723	0.1172996975
724	0.1172588712
725	0.1172164168
726	0.1172080504
727	0.117205838
728	0.1171804154
729	0.1171613227
730	0.1171609399
731	0.1171238482
732	0.1171140696
733	0.1170830796
734	0.1170607046
735	0.1170240815
736	0.1170175919
737	0.1170121043
738	0.1169986866
739	0.1169625513
740	0.1169162649
741	0.1168920822
742	0.1168839514
743	0.11686761
744	0.1168509317
745	0.1168479082
746	0.1168388196
747	0.1168236461
748	0.1168077529
749	0.1167884907
750	0.1167836015
751	0.1167501098
752	0.1167286375
753	0.1167152149
754	0.1166680552
755	0.1166521156
756	0.1166306469
757	0.1166003074
758	0.1165943812
759	0.116584718
760	0.1165806894
761	0.1165762652
762	0.1165687697
763	0.116561278
764	0.1165338038
765	0.1165215806
766	0.1164801288
767	0.1164735715
768	0.1164393604
769	0.1164315208
770	0.1164248597
771	0.116363164
772	0.1163577431
773	0.1163519564
774	0.1163133928
775	0.1162854548
776	0.1162387012
777	0.1162081182
778	0.1162032957
779	0.1161992596
780	0.1161754733
781	0.116144334
782	0.1161045193
783	0.116096141
784	0.1160912996
785	0.1160830559
786	0.1160653263
787	0.1160533828
788	0.1160521309
789	0.1160281861
790	0.1160252819
791	0.1160096076
792	0.1159992185
793	0.1159614565
794	0.1159450385
795	0.1159351773
796	0.1159226801
797	0.1159166072
798	0.1159132855
799	0.1159055961
800	0.1159022671
801	0.1158773843
802	0.1158198632
803	0.1158136918
804	0.115810931
805	0.115774754
806	0.1157270943
807	0.1156970345
808	0.1156820153
809	0.1156764961
810	0.1156664645
811	0.115638943
812	0.1156251883
813	0.1156034406
814	0.1155993863
815	0.1155857565
816	0.1155758833
817	0.1155724946
818	0.1155668737
819	0.1155624204
820	0.1155432013
821	0.1154946135
822	0.1154831275
823	0.115466075
824	0.1154158975
825	0.1154082224
826	0.1153714875
827	0.1153281221
828	0.1153218201
829	0.1152863293
830	0.1152728802
831	0.1152557062
832	0.1152291021
833	0.1151932444
834	0.1151862787
835	0.115181971
836	0.1151437706
837	0.1151030856
838	0.115080282
839	0.1150771189
840	0.1150694284
841	0.1150419654
842	0.1150038629
843	0.1149792388
844	0.1149789387
845	0.1149572036
846	0.1149290979
847	0.1149012276
848	0.1148918623
849	0.1148888759
850	0.1148801615
851	0.1148756188
852	0.1148690615
853	0.1148547748
854	0.1148240676
855	0.1148200853
856	0.1148115394
857	0.1147928023
858	0.1147813471
859	0.1147719841
860	0.1147382842
861	0.114721015
862	0.1146941109
863	0.1146670488
864	0.1146381982
865	0.1146353784
866	0.1146312008
867	0.1146262429
868	0.1146214757
869	0.1146124368
870	0.1145994548
871	0.1145947528
872	0.114588513
873	0.1145714504
874	0.1145524153
875	0.1145469962
876	0.1145432495
877	0.1145275185
878	0.1144940366
879	0.1144707953
880	0.114431245
881	0.1144290596
882	0.1143996821
883	0.114361231
884	0.1143437744
885	0.1143327091
886	0.1143228112
887	0.1143082739
888	0.1143016964
889	0.1142699502
890	0.1142377838
891	0.114210764
892	0.114192614
893	0.114189806
894	0.1141724912
895	0.1141471449
896	0.1141468432
897	0.1141394582
898	0.1141125488
899	0.1141063168
900	0.1140809537
901	0.1140524213
902	0.1140375259
903	0.1140115176
904	0.1139854537
905	0.1139728491
906	0.1139420795
907	0.1139340398
908	0.1139191303
909	0.1139058965
910	0.1138800911
911	0.1138738876
912	0.1138691585
913	0.1138634955
914	0.1138535758
915	0.1138368302
916	0.1138227284
917	0.1138205697
918	0.1138089389
919	0.1137859565
920	0.1137375251
921	0.1137106832
922	0.1136912511
923	0.1136909359
924	0.1136701709
925	0.1136369032
926	0.1136180139
927	0.1136107117
928	0.1136074111
929	0.113574029
930	0.1135655138
931	0.1135481355
932	0.1135429692
933	0.1135331529
934	0.1135107379
935	0.1134933826
936	0.1134890802
937	0.1134393672
938	0.113427474
939	0.1134249196
940	0.1134160462
941	0.113413563
942	0.1133954261
943	0.113391537
944	0.1133689444
945	0.1133634131
946	0.1133463491
947	0.1133359881
948	0.1133237929
949	0.1133044837
950	0.1133009897
951	0.1132841792
952	0.1132496563
953	0.1132246609
954	0.11320235
955	0.113201978
956	0.1131991167
957	0.1131950997
958	0.1131516647
959	0.1131299511
960	0.1131202189
961	0.1131013671
962	0.1130799727
963	0.1130560342
964	0.1130492594
965	0.113034665
966	0.1130260321
967	0.1130179464
968	0.1130112966
969	0.1130079761
970	0.1130036982
971	0.112979488
972	0.1129755327
973	0.1129613792
974	0.112932899
975	0.1129187954
976	0.1129187713
977	0.1129009066
978	0.1128871665
979	0.1128775155
980	0.1128739824
981	0.1128435454
982	0.1128311868
983	0.1128289319
984	0.1128108056
985	0.112804119
986	0.1127999993
987	0.1127938527
988	0.1127893502
989	0.112771259
990	0.1127487039
991	0.1127388566
992	0.1127300107
993	0.112707777
994	0.1126668607
995	0.1126602159
996	0.1126191729
997	0.112607522
998	0.1125886418
999	0.1125691939
