iter	Passed	Remaining
403	10090	14886
404	10113	14858
405	10138	14833
406	10161	14804
407	10183	14775
408	10209	14751
409	10233	14725
410	10256	14699
411	10280	14672
412	10307	14650
413	10333	14626
414	10356	14599
415	10381	14573
416	10406	14548
417	10430	14523
418	10455	14497
419	10479	14471
420	10502	14444
421	10527	14419
422	10550	14391
423	10574	14365
424	10598	14339
425	10625	14316
426	10647	14288
427	10670	14260
428	10694	14234
429	10717	14206
430	10744	14184
431	10767	14157
432	10790	14130
433	10814	14103
434	10836	14075
435	10860	14049
436	10884	14022
437	10905	13992
438	10929	13966
439	10952	13939
440	10983	13922
441	11007	13896
442	11031	13870
443	11055	13843
444	11079	13818
445	11102	13790
446	11125	13763
447	11147	13734
448	11170	13708
449	11193	13681
450	11219	13657
451	11243	13630
452	11266	13604
453	11291	13579
454	11315	13553
455	11338	13527
456	11365	13504
457	11387	13475
458	11412	13451
459	11436	13425
460	11460	13399
461	11486	13376
462	11515	13355
463	11540	13331
464	11565	13306
465	11587	13278
466	11611	13252
467	11635	13226
468	11660	13201
469	11682	13174
470	11707	13148
471	11729	13120
472	11753	13094
473	11776	13068
474	11801	13043
475	11825	13018
476	11848	12991
477	11873	12966
478	11898	12941
479	11921	12914
480	11945	12889
481	11969	12863
482	11993	12838
483	12017	12811
484	12040	12785
485	12068	12763
486	12096	12742
487	12120	12716
488	12145	12692
489	12169	12666
490	12193	12640
491	12218	12616
492	12242	12590
493	12267	12565
494	12293	12541
495	12318	12517
496	12342	12491
497	12367	12466
498	12391	12440
499	12413	12413
500	12437	12388
501	12462	12362
502	12486	12337
503	12512	12314
504	12535	12287
505	12559	12262
506	12586	12238
507	12608	12210
508	12633	12186
509	12656	12160
510	12679	12133
511	12704	12108
512	12732	12087
513	12756	12061
514	12783	12038
515	12807	12012
516	12831	11987
517	12857	11963
518	12880	11937
519	12903	11911
520	12926	11884
521	12949	11858
522	12973	11832
523	12996	11805
524	13018	11778
525	13041	11752
526	13065	11726
527	13089	11701
528	13114	11676
529	13139	11652
530	13166	11629
531	13195	11607
532	13217	11580
533	13241	11555
534	13262	11527
535	13288	11503
536	13316	11481
537	13343	11458
538	13374	11438
539	13397	11412
540	13420	11386
541	13448	11364
542	13475	11341
543	13498	11314
544	13523	11290
545	13550	11267
546	13573	11241
547	13601	11218
548	13628	11195
549	13654	11171
550	13681	11148
551	13707	11124
552	13737	11103
553	13762	11079
554	13790	11057
555	13816	11033
556	13839	11006
557	13865	10982
558	13889	10957
559	13914	10932
560	13940	10908
561	13964	10883
562	13989	10858
563	14014	10833
564	14038	10808
565	14064	10784
566	14089	10759
567	14114	10734
568	14141	10712
569	14165	10686
570	14190	10661
571	14218	10639
572	14246	10616
573	14271	10591
574	14298	10568
575	14324	10544
576	14350	10520
577	14381	10499
578	14404	10473
579	14431	10450
580	14459	10427
581	14492	10408
582	14519	10385
583	14549	10363
584	14577	10341
585	14606	10319
586	14630	10294
587	14655	10269
588	14682	10245
589	14707	10220
590	14731	10194
591	14759	10172
592	14791	10151
593	14816	10126
594	14839	10100
595	14863	10075
596	14889	10050
597	14912	10024
598	14935	9998
599	14959	9972
600	14984	9948
601	15010	9923
602	15037	9900
603	15062	9875
604	15089	9851
605	15115	9827
606	15138	9801
607	15162	9775
608	15188	9751
609	15218	9729
610	15243	9704
611	15267	9679
612	15292	9654
613	15318	9629
614	15343	9605
615	15371	9582
616	15394	9556
617	15419	9531
618	15443	9505
619	15467	9480
620	15495	9457
621	15525	9435
622	15552	9411
623	15582	9389
624	15606	9364
625	15632	9339
626	15655	9313
627	15681	9288
628	15706	9263
629	15728	9237
630	15754	9212
631	15777	9187
632	15805	9163
633	15828	9137
634	15852	9112
635	15875	9086
636	15899	9060
637	15921	9033
638	15943	9007
639	15965	8980
640	15992	8956
641	16016	8931
642	16042	8906
643	16069	8883
644	16092	8857
645	16119	8833
646	16143	8807
647	16170	8783
648	16194	8758
649	16224	8736
650	16249	8711
651	16274	8686
652	16304	8664
653	16331	8640
654	16354	8614
655	16378	8588
656	16402	8563
657	16425	8537
658	16452	8513
659	16478	8488
660	16506	8465
661	16531	8440
662	16557	8416
663	16583	8391
664	16608	8366
665	16632	8341
666	16656	8315
667	16680	8290
668	16705	8265
669	16732	8241
670	16757	8216
671	16782	8191
672	16808	8166
673	16831	8140
674	16853	8114
675	16881	8091
676	16905	8065
677	16929	8040
678	16950	8013
679	16977	7989
680	17000	7963
681	17026	7939
682	17050	7913
683	17078	7890
684	17104	7865
685	17128	7840
686	17157	7817
687	17179	7790
688	17206	7766
689	17228	7740
690	17257	7717
691	17283	7692
692	17306	7666
693	17335	7643
694	17358	7617
695	17382	7592
696	17407	7567
697	17431	7541
698	17455	7516
699	17478	7490
700	17499	7464
701	17523	7438
702	17546	7412
703	17573	7388
704	17598	7363
705	17623	7338
706	17647	7313
707	17674	7289
708	17696	7263
709	17719	7237
710	17742	7211
711	17765	7186
712	17788	7160
713	17811	7134
714	17835	7109
715	17858	7083
716	17879	7057
717	17902	7031
718	17926	7006
719	17950	6980
720	17974	6955
721	17998	6930
722	18022	6904
723	18049	6880
724	18074	6855
725	18100	6831
726	18124	6805
727	18147	6780
728	18172	6755
729	18198	6730
730	18219	6704
731	18245	6680
732	18270	6655
733	18298	6631
734	18324	6606
735	18350	6582
736	18372	6556
737	18396	6530
738	18420	6505
739	18450	6482
740	18477	6458
741	18501	6433
742	18525	6407
743	18549	6382
744	18574	6357
745	18597	6332
746	18622	6307
747	18645	6281
748	18671	6256
749	18695	6231
750	18719	6206
751	18745	6181
752	18770	6157
753	18796	6132
754	18824	6108
755	18848	6083
756	18872	6058
757	18897	6033
758	18920	6007
759	18944	5982
760	18967	5957
761	18991	5931
762	19015	5906
763	19038	5880
764	19065	5856
765	19088	5831
766	19116	5807
767	19140	5781
768	19165	5757
769	19189	5731
770	19213	5706
771	19240	5682
772	19264	5657
773	19288	5631
774	19314	5607
775	19342	5583
776	19370	5559
777	19395	5534
778	19418	5509
779	19442	5483
780	19467	5458
781	19493	5434
782	19520	5409
783	19543	5384
784	19566	5358
785	19588	5333
786	19614	5308
787	19638	5283
788	19660	5257
789	19686	5233
790	19708	5207
791	19732	5182
792	19754	5156
793	19782	5132
794	19807	5107
795	19831	5082
796	19855	5057
797	19879	5032
798	19902	5006
799	19925	4981
800	19948	4956
801	19974	4931
802	20000	4906
803	20024	4881
804	20046	4856
805	20074	4831
806	20103	4807
807	20130	4783
808	20154	4758
809	20177	4732
810	20201	4707
811	20226	4682
812	20250	4657
813	20276	4633
814	20298	4607
815	20323	4582
816	20348	4557
817	20372	4532
818	20395	4507
819	20419	4482
820	20442	4457
821	20471	4433
822	20496	4408
823	20521	4383
824	20550	4359
825	20574	4334
826	20600	4309
827	20626	4284
828	20650	4259
829	20677	4235
830	20703	4210
831	20726	4185
832	20751	4160
833	20777	4135
834	20801	4110
835	20823	4084
836	20851	4060
837	20876	4035
838	20901	4010
839	20923	3985
840	20946	3960
841	20972	3935
842	20999	3911
843	21024	3885
844	21045	3860
845	21070	3835
846	21095	3810
847	21120	3785
848	21144	3760
849	21167	3735
850	21190	3710
851	21214	3685
852	21237	3659
853	21261	3634
854	21290	3610
855	21313	3585
856	21338	3560
857	21361	3535
858	21387	3510
859	21410	3485
860	21439	3461
861	21465	3436
862	21492	3411
863	21518	3387
864	21547	3362
865	21570	3337
866	21595	3312
867	21618	3287
868	21643	3262
869	21667	3237
870	21691	3212
871	21717	3187
872	21742	3163
873	21768	3138
874	21797	3113
875	21820	3088
876	21843	3063
877	21869	3038
878	21895	3014
879	21920	2989
880	21948	2964
881	21972	2939
882	21999	2915
883	22025	2890
884	22050	2865
885	22076	2840
886	22100	2815
887	22123	2790
888	22148	2765
889	22173	2740
890	22201	2716
891	22228	2691
892	22254	2666
893	22276	2641
894	22303	2616
895	22327	2591
896	22350	2566
897	22374	2541
898	22402	2516
899	22427	2491
900	22453	2467
901	22482	2442
902	22506	2417
903	22530	2392
904	22558	2368
905	22582	2342
906	22609	2318
907	22633	2293
908	22658	2268
909	22682	2243
910	22706	2218
911	22731	2193
912	22756	2168
913	22782	2143
914	22806	2118
915	22831	2093
916	22858	2068
917	22881	2043
918	22909	2019
919	22937	1994
920	22964	1969
921	22992	1945
922	23018	1920
923	23040	1895
924	23066	1870
925	23093	1845
926	23121	1820
927	23146	1795
928	23173	1771
929	23203	1746
930	23230	1721
931	23263	1697
932	23290	1672
933	23315	1647
934	23342	1622
935	23372	1598
936	23398	1573
937	23430	1548
938	23456	1523
939	23480	1498
940	23504	1473
941	23529	1448
942	23557	1423
943	23582	1398
944	23609	1374
945	23635	1349
946	23662	1324
947	23686	1299
948	23711	1274
949	23739	1249
950	23763	1224
951	23790	1199
952	23818	1174
953	23846	1149
954	23874	1124
955	23897	1099
956	23921	1074
957	23945	1049
958	23973	1024
959	23999	999
960	24024	974
961	24050	950
962	24076	925
963	24103	900
964	24129	875
965	24154	850
966	24179	825
967	24203	800
968	24228	775
969	24253	750
970	24277	725
971	24304	700
972	24329	675
973	24354	650
974	24380	625
975	24405	600
976	24427	575
977	24454	550
978	24480	525
979	24505	500
980	24529	475
981	24557	450
982	24583	425
983	24607	400
984	24634	375
985	24660	350
986	24685	325
987	24711	300
988	24736	275
989	24765	250
990	24793	225
991	24819	200
992	24851	175
993	24883	150
994	24912	125
995	24938	100
996	24969	75
997	24996	50
998	25026	25
999	25054	0
